,name,participants,mentors,description,cohort,keywords,status,collaboration
0,Open Science Community Barcelona (OSCBa),Elisenda Bonet-Carne,Harry Smith,"This project aims to create a community of local scientists to share and promote open science in Barcelona, Spain. I would like to use as an example the <a href=""https://openscience-utrecht.com/"">OSCU</a> and other initiatives like openscience beers in Montreal. The initial goal would be to reach researchers from different institutions: UB, UPC, UPF, UOC, UAB, etc. and meet informally in a bar/pub periodically.<br>
During the meetings we would present/talk about what we do, we will promote knowledge exchange and will discuss on how we could improve our research in terms of open science, for example performing more transparent research and sharing data/code. Later on, the plan is to use this community to create workshops and symposia about open science and to agree on some common needs. For example, a common need in life science research group would be to have resources to help researchers in terms of data sharing or interactive paper publication. If we can define common needs we will be able to apply for some funding to cover them.<br>
We will also use this plantform to motivate colleages from other parts of the country to create their own local community and then connect for some events.
",1,,,
1,"Investigate feasible solutions to help create a system that creates, collects and processes data efficiently for impactful research especially for driving health research and driving health related policies",Deborah Akuoko,Vicky Nembaware,"Most sub Saharan African countries barely have quality health data for national policy making, especially on cancer. Thus, more work might be needed to improve the data quality, especially from regions with insufficient health data registries. This project seeks to investigate feasible solutions to help create a system that creates, collects and processes data efficiently for impactful research especially for driving health research and driving health related policies.<br>
In this project, I will focus on: improving quality of gender data generated in sub Saharan Africa for research and driving health policies, creating room to make health surveillance possible and easy for policy makers to take data driven decisions, and helping establish framework to run health data registries in more regions within sub-Saharan Africa.
",1,,,
2,Infusing a culture of open science within the community of researchers at the Zuckerman Institute,Chiara Bertipaglia,Mateusz Kuzak,"The community of <a href=""https://zuckermaninstitute.columbia.edu/"">Columbia University’s Zuckerman Institute</a> is composed of neuroscientists at all career stages (graduate students, postdocs, faculty members). The Office of Scientific Programs, where I work, was established to build and nurture the community by fostering a professional environment that is welcoming, safer, diverse and inclusive. In its first year of life, the Office has identified relevant issues that seeks to pursue in order to support a collaborative climate of interdisciplinary research and discovery. Transparency is a key value of the Zuckerman Institute’s mission, and the Open Life Science mentor program is the perfect platform for me as the Assistant Director of Scientific Programs, to elaborate a strategy that will infuse open science best practices in the community. I hope that with the help of the cohort and the mentor, I can design a strategy to infuse a culture of open science within the community of researchers at the Zuckerman Institute. Ideally this would include power mapping, stakeholder mapping, action plans, and outreach. In the long run, work done in this project aims at developing community engagement for policy development, and will ultimately pave the way to establish the Zuckerman Institute as a golden standard for open science.
",1,,graduated,
3,Bioinformatics Hub of Kenya (BHK),"Festus Nyasimi, Margaret Wanjiku, David Kiragu Mwaura, Michael Landi","Toby Hodges, Malvika Sharan","The Bioinformatics Hub of Kenya is an entity that develops and manages training in bioinformatics and computational biology and provides a space in which research in bioinformatics is practiced.<br>
The aim of the hub is to provide a vibrant environment that fosters research excellence, facilitating the immersive engagement of established and upcoming bioinformaticians with computational and data intensive activities in biology and the life sciences, and promoting the discipline of bioinformatics in Kenya. <br>
Our mission is to bridge the gap between well established and aspiring bioinformaticians through peer training and mentorship to provide a pool of qualified bioinformaticians who will focus on innovation and bringing novelty to assigned projects promising quality, integrity, reliability and trust in their services.
",1,,graduated,
4,Expanding plenoptic Python Package,Billy Broderick,Rodrigo Oliveira Campos,"<a href=""https://pypi.org/project/plenpy/"">plenoptic</a> is a Python package for computational vision with two main components: standard differentiable models of the visual system and synthesis methods. The models operate on images and make predictions about perception or neural activity, and are relatively simple, with a small number of parameters; they can thus be used out-of-the-box on arbitrary images. To start, we will focus on spatial vision, so the inputs are expected to be static grayscale images. Synthesis methods are used to better understand models of this type. The most common applications of computational models are simulation (holding the parameters and input constant, while predicting the output) and learning (holding the input and output constant, while fitting the parameters). In synthesis, the output and parameters are held constant while the input is fit. This allows scientists to develop better intuition about which aspects of images their models consider relevant and which they ignore, as well as to carry out more efficient and effective model comparison and validation experiments. We will include four such methods, all of which have been described in the literature, but none of which have standard, accessible implementations that work on more than a handful of specific models.
",1,,graduated,
5,@Diversidade em Foco,"Bruno Soares, Naraiana Loureiro Benone",Renato Alves,"[Biodiversidade em Foco](https://www.abc.org.br/atuacao/nacional/projeto-de-ciencia-para-o-brasil/biodiversidade-em-foco/) (@Biodiversity in Focus, in English) will merge a twitter account and a blog to promote science communication about Brazilian biodiversity. The project will coordinate daily posts communicating recent research findings about Brazilian biodiversity in twitter from researchers in different degrees of scientific career and thematic areas. Different researchers will administrate the twitter account during a week, time when they will provide daily posts about their area of expertise. Posts will be published in Portuguese in order to have higher national reach. Blog will present general information about the project and will summarize individual and community-level efforts, as well as semesterly reports of the project. Reports will be published in Portuguese and in English to share our experience to a broad audience and promote science communication. Reports will consider the number of tweets, participants, their experience during the account administration time, the number of followers and reach information in the twitter account and the blog.
",1,,graduated,
6,Media Lab Nepal for Computational Biology,Sudarshan GC,"Aidan Budd, Malvika Sharan","<a href=""https://medialabnepal.com/"">Media Lab Nepal</a> is only one community bio lab of Nepal focusing on democratization of life sciences through open science. It is an interdisciplinary team of students and experts with different backgrounds- basic science, engineering, journalism and management. It acted as a community partner for Darwin- India’s biggest evolutionary movement and innovation partner for Hult Prize Purbanchal University. The team is connecting innovations to entrepreneurship for maintaining sustainability. We are also partnering with community bio labs of our neighbouring countries like India, Bangladesh and Pakistan.<br>
I want to initiate computational biology in Nepal to more number of enthusiasts from different fields during this program. Getting the support from mentors, like minded people and their mentoring will help for the sustainability of our project. At least if we can initiate this step and give platform to more number of students, we can benefit life sciences sector of whole country through open science initiative. I also want to make this initiative feasible and sustainable by creating incoming generating platform with computational biology.
",1,,graduated,
7,InterMine Similarity Explorer,Himanshu Singh,Yo Yehudi,"<a href=""https://intermine.org/"">InterMine</a> is a powerful open source data warehouse system. It allows users to integrate diverse data sources with a minimum of effort, providing powerful web-services and an elegant web-application with minimal configuration. But InterMine warehouses are fragmented as there’re 30 InterMines which are not interconnected. Project BlueGenes aims to integrate all the sources and provide a single interface to access the data of all 30 InterMines.<br>
This project aims to develop a javascript based tool which will be embedded on BlueGenes list pages (which can be of genes or proteins). This tool will allow users to find similarities between different genes or proteins that are provided in the list. In order to enable this, we’ll make an explorable graph visualization of the relationships between InterMine entities (proteins or genes). Each entity or object will be represented as a node.<br>
The idea is that visualizing things helps us to spot patterns. So, we’ll have this tool, which will visualize the interactions and similarities between different entities and there will be options to tweak the appearance/structure to make things more explorable.
",1,,,
8,Open Connect Platform in Africa,Lilian Juma,Caleb Kibet,"In Open community, there is disconnect between Open practitioners and advocates hence need for platform to connect everyone within open landscape. Therefore, Open Connect will be a platform where everyone across the divide will be part of the solution through lessons, trainings and mentorship. This is an interactive platform targeting students, early career researchers, policy makers and senior researchers in shaping Open policies each country at a time in Africa. Since Africa poses different and unique development dynamics, development of all phases of this project will put into consideration various divides such as rich vs poor, rural vs urban, research literate vs research illiterate among others.
",1,,graduated,
9,EMBL Bio-IT Community Project,Renato Alves,Malvika Sharan,"<a href=""https://bio-it.embl.de"">Bio-IT project</a> at the <a href=""https://embl.org"">European Molecular Biology Laboratory (EMBL)</a> is an initiative established in 2010 to support the development and technical capacity of its diverse bio-computational community.<br>
After finishing my PhD recently at EMBL, I took the next role as a Bio-IT community coordinator within the same organisation. In order to perform effectively in my job, I want to formally gain community management skills and understand the various tasks and responsibilities within the Bio-IT project. With my application to the Open Life Science program, I want to be paired with a mentor, potentially Malvika Sharan, who is my predecessor in Bio-IT. I want to take this opportunity to ensure a smooth knowledge transfer within the management team of the Bio-IT project and navigate my own path and future prospects as a community manager.
",1,,graduated,
