,id,country,country_3,city,longitude,latitude,cohort,role
0,0sahene,Ghana,GHA,Tamale,-0.8423986,9.4051992,5,participant
1,0x174,United States,USA,Boston,-71.060511,42.3554334,3,participant
2,4iro,Argentina,ARG,"Rancagua, Provincia De Buenos Aires",-60.5045833,-34.0299629,7,participant
3,aath0,Switzerland,CHE,,,,2,expert
4,aath0,Switzerland,CHE,,,,1,expert
5,abdulelahsm,Saudi Arabia,SAU,Dammam,50.1039991,26.4367824,3,participant
6,abraham-dabengwa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
7,abretaud,France,FRA,Rennes,-1.6800198,48.1113387,4,mentor
8,acocac,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,mentor
9,acocac,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,4,participant
10,adam-gristwood,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
11,afzal442,India,IND,,,,3,participant
12,agbeltran,United Kingdom,GBR,,,,2,expert
13,agossoubido2021,Benin,BEN,Abomey Calavi,2.3303076367454025,6.51096225,5,participant
14,aida-turing,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,3,participant
15,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,expert
16,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,mentor
17,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
18,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,expert
19,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,mentor
20,ailís-o'carroll,Ireland,IRL,,,,7,mentor
21,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
22,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,mentor
23,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,expert
24,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
25,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,mentor
26,akalikadien,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,5,participant
27,aldenc,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,participant
28,alecandian,Netherlands,NLD,,,,5,participant
29,alecandian,Netherlands,NLD,,,,6,expert
30,alecandian,Netherlands,NLD,,,,6,mentor
31,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,participant
32,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,expert
33,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,mentor
34,alexholinski,United Kingdom,GBR,,,,5,expert
35,alexholinski,United Kingdom,GBR,,,,3,expert
36,alexholinski,United Kingdom,GBR,,,,4,expert
37,alexholinski,United Kingdom,GBR,,,,4,mentor
38,alexwlchan,United Kingdom,GBR,,,,5,expert
39,alexwlchan,United Kingdom,GBR,,,,2,expert
40,alexwlchan,United Kingdom,GBR,,,,3,expert
41,alexwlchan,United Kingdom,GBR,,,,4,expert
42,aliaslaurel,Argentina,ARG,Córdoba,-4.7760138,37.8845813,6,expert
43,alihumayun,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,3,participant
44,alihumayun,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,4,participant
45,amangoel185,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,6,participant
46,amangoel185,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,7,facilitator
47,anafinovas,Hungary,HUN,Budapest,19.14609412691246,47.48138955,7,participant
48,anayan321,Thailand,THA,Bangkok,100.6224463,13.8245796,4,expert
49,anayan321,Thailand,THA,Bangkok,100.6224463,13.8245796,1,participant
50,andre-vargas-de,Bolivia,,Cochabamba,-66.1568983,-17.3936114,5,participant
51,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,expert
52,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,mentor
53,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,mentor
54,andreea-avramescu,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,participant
55,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,2,mentor
56,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,3,mentor
57,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,6,participant
58,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
59,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,3,expert
60,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
61,angelicamaineri,Netherlands,NLD,,,,7,participant
62,anita-broellochs,United States,USA,,,,2,expert
63,anita-broellochs,United States,USA,,,,2,mentor
